PRICE,BEDS,BATH,PROPERTYSQFT,Type
315000,2,2.0,1400.0,1
195000000,7,10.0,17545.0,1
260000,4,2.0,2015.0,3
69000,3,1.0,445.0,1
55000000,7,2.3738608579684373,14175.0,6
690000,5,2.0,4004.0,3
899500,2,2.0,2184.207862,1
16800000,8,16.0,33000.0,3
265000,1,1.0,750.0,0
440000,2,1.0,978.0,0
375000,2,1.0,850.0,0
689000,3,2.3738608579684373,1162.0,6
259000,3,1.0,2184.207862,0
430000,2,2.0,2184.207862,0
895000,3,1.0,2184.207862,0
549000,2,2.0,1000.0,1
975000,3,2.0,1734.0,6
199000,3,1.0,325.0,0
350000,1,1.0,700.0,0
599000,2,2.0,974.0,1
639999,3,2.0,1260.0,3
1300000,2,2.0,1244.0,1
1100000,6,3.0,2837.0,5
349900,1,1.0,651.0,1
750000,2,2.0,1330.0,3
1690000,6,4.0,2200.0,5
325000,1,1.0,2184.207862,0
2250000,12,2.3738608579684373,5670.0,5
230000,1,1.0,2184.207862,0
1299888,10,6.0,3156.0,5
925000,5,2.0,2750.0,5
329000,1,2.0,794.0,1
1300000,10,8.0,5040.0,5
848000,5,4.0,2080.0,5
279000,1,1.0,750.0,0
528000,1,1.0,602.0,1
1299888,11,4.0,3156.0,5
275000,1,1.0,2184.207862,0
1165000,1,1.0,815.0,1
1199000,6,5.0,3290.0,5
700000,6,2.0,3053.0,5
2150000,8,4.0,3200.0,5
1280000,7,5.0,2460.0,5
199900,1,1.0,2184.207862,0
369000,2,1.0,2184.207862,0
699000,4,3.0,1591.0,5
4250000,3,2.0,2400.0,0
825000,2,2.0,2184.207862,5
329000,2,1.0,837.0,1
889000,2,2.0,1520.0,5
769000,2,2.0,2184.207862,5
1200000,4,2.0,2536.0,5
220500,2,1.0,900.0,0
1999000,3,3.0,2739.0,5
3250000,2,2.0,1300.0,0
1650000,2,2.0,1267.0,1
1049000,4,4.0,2554.0,5
998800,3,4.0,2400.0,3
998800,3,4.0,2400.0,3
849000,1,1.0,2184.207862,0
559500,1,1.0,800.0,0
750000,1,1.0,835.0,0
1900000,2,2.0,1029.0,1
1250000,2,2.0,1201.0,1
1395000,2,2.0,1182.0,1
198000,1,1.0,2184.207862,0
1489000,6,2.3738608579684373,3780.0,5
65000000,3,2.3738608579684373,15200.0,6
1595000,3,3.0,1413.0,1
655000,3,2.0,803.0,1
1175000,2,2.0,1115.0,1
2880000,9,2.3738608579684373,2350.0,5
798000,3,4.0,2150.0,5
31000000,3,4.0,4492.0,1
1650000,2,2.0,1065.0,1
1650000,2,2.0,1065.0,1
12950000,5,4.0,3344.0,6
5750000,3,2.0,2223.0,1
250000,5,2.0,2184.207862,5
585000,3,2.0,1100.0,3
8750000,6,6.0,2184.207862,3
595000,3,1.0,1316.0,3
215000,1,1.0,625.0,1
314000,3,1.0,1572.0,3
395000,5,1.0,1000.0,1
600000,2,2.0,2184.207862,5
790000,6,3.0,2520.0,5
539000,2,2.0,1100.0,0
1295000,4,2.0,1995.0,0
245000,3,1.0,2184.207862,3
400000,7,3.0,2385.0,3
55000000,8,8.0,12000.0,3
280000,1,1.0,1000.0,0
899000,3,2.0,1440.0,3
1495000,4,2.3738608579684373,3000.0,3
3950000,5,2.0,3528.0,3
325000,2,1.0,979.0,1
